Site,Date,sample_depth,epi,Depth,CL_mg_L,SO4_mg_L,TDN_uMOL_L,TDN_mg_L,NO3_mg_L,TDP_mg_L,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,stratification,NDVI
Jasper Lake,6/15/16,sur,1,0,0.227,1.325,19.314,0.271,0.657,0.00229,0.0010,1.74,1.35,466,0.0616,3.53,161215,2.40,unstratified,0.5053
Jasper Lake,6/15/16,hypo,0,3.5,0.154,1.337,17.761,0.249,0.685,0.00559,0.0018,1.61,1.33,466,0.0643,3.99,161215,2.21,unstratified,0.5053
Jasper Lake,7/6/16,sur,1,0,0.248,1.037,15.945,0.223,0.348,0.00638,0.0015,1.37,1.35,468,0.0485,3.54,161215,3.29,stratified,0.5053
Jasper Lake,7/6/16,hypo,0,3.5,0.082,1.124,11.960,0.168,0.348,0.00377,0.0019,1.24,1.37,468,0.0482,3.87,161215,9.72,stratified,0.5053
Jasper Lake,7/6/16,hypo,0,8,0.138,2.118,19.285,0.270,0.390,0.00654,0.0019,1.20,1.49,456,0.0342,2.85,161215,20.78,stratified,0.5053
Lion Lake 2,7/13/16,sur,1,0,0.145,0.791,10.871,0.152,0.220,0.00331,0.0016,0.75,1.34,464,0.0267,3.57,161216,6.30,unstratified,0.3425
Lion Lake 2,7/13/16,hypo,0,8.5,0.144,0.815,9.959,0.140,0.088,0.00533,0.0018,0.80,1.38,464,0.0298,3.71,161216,10.15,unstratified,0.3425
Lion Lake 2,7/27/16,sur,1,0,0.108,0.843,15.209,0.213,0.216,0.00811,0.0020,0.72,1.32,466,0.0206,2.85,161215,9.79,partial,0.3425
Lion Lake 2,7/27/16,hypo,0,8.5,0.081,0.846,6.350,0.089,0.011,0.00345,0.0018,0.83,1.4,464,0.0241,2.91,161215,12.67,partial,0.3425
Lion Lake 2,8/10/16,sur,1,0,0.086,0.920,12.995,0.182,0.217,0.00401,0.0020,0.85,1.41,462,0.0216,2.55,170111,2.43,unstratified,0.3425
Lion Lake 2,8/10/16,hypo,0,8,0.169,0.915,23.948,0.335,0.228,0.00478,0.0016,0.92,1.38,464,0.0239,2.61,170111,2.46,unstratified,0.3425
Long Lake,6/22/16,sur,1,0,0.172,2.854,18.087,0.253,0.577,0.00396,0.0015,2.07,1.34,466,0.0876,4.23,161215,3.46,unstratified,0.6653
Long Lake,6/22/16,hypo,0,6,0.145,3.002,18.422,0.258,0.575,0.00508,0.0019,1.91,1.32,468,0.0831,4.35,161215,3.37,unstratified,0.6653
Long Lake,7/11/16,sur,1,0,0.063,2.798,11.098,0.155,0.174,0.00439,0.0015,1.10,1.33,466,0.0474,4.29,161215,4.37,unstratified,0.6653
Long Lake,7/11/16,hypo,0,6,0.078,2.822,12.067,0.169,0.206,0.00549,0.0026,1.14,1.35,464,0.0465,4.08,161216,6.97,unstratified,0.6653
Long Lake,8/5/16,sur,1,0,0.102,2.814,4.600,0.064,0.103,0.00314,0.0014,0.87,1.3,466,0.0328,3.77,170111,2.12,unstratified,0.6653
Long Lake,8/5/16,hypo,0,5.5,0.125,2.839,7.687,0.108,0.123,0.00478,0.0015,0.94,1.36,462,0.0337,3.57,170111,2.53,unstratified,0.6653
Lost Lake,6/2/16,sur,1,0,0.375,6.824,18.122,0.254,NA,0.00232,0.0022,2.21,1.34,462,0.0607,2.75,161215,8.48,partial,0.6452
Lost Lake,6/2/16,hypo,0,4.5,0.337,6.066,11.756,0.165,0.036,0.00310,0.0019,1.95,1.38,462,0.0522,2.68,161215,6.25,partial,0.6452
Lost Lake,6/16/16,sur,1,0,0.255,5.718,11.232,0.157,NA,0.00585,0.0011,2.30,1.35,464,0.0582,2.53,161215,3.67,unstratified,0.6452
Lost Lake,6/16/16,hypo,0,4,0.214,5.656,12.281,0.172,NA,0.00539,0.0015,2.10,1.37,466,0.0533,2.54,161215,6.21,unstratified,0.6452
Lost Lake,7/14/16,sur,1,0,0.130,6.913,15.193,0.213,0.008,0.00822,0.0020,2.75,1.39,464,0.0733,2.66,161216,2.75,unstratified,0.6452
Lost Lake,7/14/16,hypo,0,3,0.149,6.383,11.893,0.167,0.007,0.00805,0.0027,2.65,1.38,466,0.0706,2.66,161216,2.16,unstratified,0.6452
Mitchell Lake,6/20/16,sur,1,0,0.112,2.425,18.448,0.258,0.669,0.00080,0.0019,1.28,1.32,468,0.0522,4.07,161215,0.91,unstratified,0.5113
Mitchell Lake,6/20/16,hypo,0,1,0.109,2.396,22.651,0.317,0.649,0.00454,0.0014,1.40,1.32,466,0.0534,3.82,161215,3.38,unstratified,0.5113
Mud Lake,5/27/16,sur,1,0,3.066,2.744,25.076,0.351,0.014,0.00660,0.0015,6.80,1.39,460,0.1788,2.63,161215,1.95,unstratified,0.5489
Mud Lake,5/27/16,hypo,0,2,2.991,2.738,22.042,0.309,0.001,0.00442,0.0025,6.82,1.38,466,0.1747,2.56,161215,0.95,unstratified,0.5489
Mud Lake,6/13/16,sur,1,0,3.119,2.835,30.434,0.426,0.002,0.00864,0.0019,8.16,1.39,464,0.2013,2.47,170301,3.91,partial,0.5489
Mud Lake,6/13/16,hypo,0,2.5,3.034,2.727,29.827,0.418,NA,0.00793,0.0024,7.40,1.41,466,0.2448,3.31,170301,14.20,partial,0.5489
Mud Lake,7/15/16,sur,1,0,3.381,2.945,29.133,0.408,0.003,0.00905,0.0034,8.52,1.39,464,0.2666,3.13,161216,7.99,unstratified,0.5489
